category,method,path,base_url,summary,tags,deprecated,official_docs
partner-api,POST,/v2/businesses/{businessId}/goods-feedback/comments/update,https://api.partner.market.yandex.ru,Добавление нового или изменение созданного комментария,goods-feedback; fby; fbs; dbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/businesses/{businessId}/goods-feedback/skip-reaction,https://api.partner.market.yandex.ru,Пропуск реакции на отзывы,goods-feedback; fby; fbs; dbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/businesses/{businessId}/offer-cards,https://api.partner.market.yandex.ru,Получение информации о заполненности карточек магазина,content; dbs; fby; fbs; express; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/businesses/{businessId}/offer-cards/update,https://api.partner.market.yandex.ru,Редактирование категорийных характеристик товара,content; dbs; fby; fbs; express; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/businesses/{businessId}/offer-mappings,https://api.partner.market.yandex.ru,Информация о товарах в каталоге,business-offer-mappings; dbs; fby; fbs; express; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/businesses/{businessId}/offer-mappings/archive,https://api.partner.market.yandex.ru,Добавление товаров в архив,business-offer-mappings; dbs; fby; fbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/businesses/{businessId}/offer-mappings/delete,https://api.partner.market.yandex.ru,Удаление товаров из каталога,business-offer-mappings; dbs; fby; fbs; express; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/businesses/{businessId}/offer-mappings/unarchive,https://api.partner.market.yandex.ru,Удаление товаров из архива,business-offer-mappings; dbs; fby; fbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/businesses/{businessId}/offer-mappings/update,https://api.partner.market.yandex.ru,Добавление товаров в каталог и изменение информации о них,business-offer-mappings; dbs; fby; fbs; express; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/businesses/{businessId}/offer-prices,https://api.partner.market.yandex.ru,Просмотр цен на указанные товары во всех магазинах,prices; fby; fbs; dbs; express; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/businesses/{businessId}/offer-prices/updates,https://api.partner.market.yandex.ru,Установка цен на товары для всех магазинов,prices; fby; fbs; dbs; express; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/businesses/{businessId}/offers/recommendations,https://api.partner.market.yandex.ru,"Рекомендации Маркета, касающиеся цен",offers; dbs; fby; fbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/businesses/{businessId}/price-quarantine,https://api.partner.market.yandex.ru,"Список товаров, находящихся в карантине по цене в кабинете",price-quarantine; dbs; fby; fbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/businesses/{businessId}/price-quarantine/confirm,https://api.partner.market.yandex.ru,Удаление товара из карантина по цене в кабинете,price-quarantine; dbs; fby; fbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
